No,Codigo,Departamento,Municipio,Latitud,Longitud,Nombre Establecimiento,Direccion
1,16-01-0249-43,ALTA VERAPAZ,COBAN,15.768956,-90.806314,EORM,COMUNIDAD CHUMILA IXILA II
2,16-01-0364-43,ALTA VERAPAZ,COBAN,15.74527,-90.80307,EORM,COMUNIDAD CHUMILA IXILA I
3,16-01-0592-43,ALTA VERAPAZ,COBAN,15.737588,-90.781339,EOUV NO. 2 SALVADOR DE OLIVA,5A. CALLE 2-80 ZONA 3
4,16-01-0254-43,ALTA VERAPAZ,COBAN,15.691864,-90.778881,EORM,COMUNIDAD LA LIBERTAD XALA-ROCJA
5,16-01-0622-41,ALTA VERAPAZ,COBAN,15.691864,-90.778881,COPB ANEXO A EORM,COMUNIDAD CHUMILA IXILA II
6,16-01-0369-43,ALTA VERAPAZ,COBAN,15.70181,-90.77606,EORM,CASERIO SAPENS
7,16-01-0261-43,ALTA VERAPAZ,COBAN,15.782796,-90.774096,EORM,COMUNIDAD SANTA MARTA PASUCUC
8,16-01-0340-43,ALTA VERAPAZ,COBAN,15.710957,-90.773815,EORM,COMUNIDAD SEMULTEQUEN RIO NEGRO
9,16-01-0257-43,ALTA VERAPAZ,COBAN,15.682332,-90.766395,EORM,ALDEA SAN PEDRO XALA-ROCJA
10,16-01-0376-43,ALTA VERAPAZ,COBAN,15.799005,-90.763664,EORM,CASERIO IXLOC SAN PEDRITO
11,16-01-1163-43,ALTA VERAPAZ,COBAN,15.732823,-90.763049,EORM,ALDEA SAN JOSE PE??A BLANCA
12,16-01-0460-41,ALTA VERAPAZ,COBAN,15.690264,-90.759793,COPB ANEXO A EORM,ALDEA PANTUYATE SAMECAN
13,16-01-0463-43,ALTA VERAPAZ,COBAN,15.690264,-90.759793,EORM,ALDEA PANTUYATE
14,16-01-0606-43,ALTA VERAPAZ,COBAN,15.818219,-90.759395,EORM,CASERIO SAN LORENZO IXMACHAN I
15,16-01-0190-42,ALTA VERAPAZ,COBAN,15.764724,-90.758088,EODP ANEXA A EORM,ALDEA ROC HA PASACUC
16,16-01-0341-43,ALTA VERAPAZ,COBAN,15.764724,-90.758088,EORM,ALDEA ROC HA PASACUC
17,16-01-0324-43,ALTA VERAPAZ,COBAN,15.727322,-90.755532,EORM,COMUNIDAD SANTA ANITA
18,16-01-1164-43,ALTA VERAPAZ,COBAN,15.698875,-90.752496,EORM,ALDEA SA MULTEQUEN II
19,16-01-0212-42,ALTA VERAPAZ,COBAN,15.780105,-90.752348,EODP ALDEA SA UCHIL,ALDEA SA UCHIL
20,16-01-0213-42,ALTA VERAPAZ,COBAN,15.780105,-90.752348,EODP,COMUNIDAD SANTA ANITA
21,16-01-0317-43,ALTA VERAPAZ,COBAN,15.780105,-90.752348,EORM COMUNIDAD SAN SEBASTIAN EL CAOBA,COMUNIDAD SAN SEBASTIAN EL CAOBA
22,16-01-0178-41,ALTA VERAPAZ,COBAN,15.833039,-90.752343,COPB,ALDEA IXLOC
23,16-01-0318-43,ALTA VERAPAZ,COBAN,15.833039,-90.752343,EORM,"ALDEA IXLOC, SALAGUIN"
24,16-01-0348-43,ALTA VERAPAZ,COBAN,15.704728,-90.749558,EORM,PARCELAMIENTO SALAGUNA
25,16-01-0259-43,ALTA VERAPAZ,COBAN,15.745998,-90.743461,EORM,ALDEA CHINAMOCOCH
26,16-01-0071-43,ALTA VERAPAZ,COBAN,15.889547,-90.741643,EORM,ALDEA SAHOLOM
27,16-01-2952-41,ALTA VERAPAZ,COBAN,15.889547,-90.741643,COPB ANEXO A EORM,ALDEA SAHOLOM
28,16-01-0385-43,ALTA VERAPAZ,COBAN,15.759214,-90.739508,EORM,ALDEA UNION BUENA VISTA
29,16-01-0386-43,ALTA VERAPAZ,COBAN,15.686347,-90.737016,EORM,ALDEA LAS MERCEDES PASACUC
30,16-01-0179-41,ALTA VERAPAZ,COBAN,15.796675,-90.728922,COPB ANEXO A EORM,CASERIO ROCJA PURIBAL
31,16-01-0256-43,ALTA VERAPAZ,COBAN,15.796675,-90.728922,EORM,ALDEA ROC-HA PURIBAL
32,16-01-0277-43,ALTA VERAPAZ,COBAN,15.77643,-90.728178,EORM BALDIO XALACHE,BALDIO XALACHE
33,16-01-0625-41,ALTA VERAPAZ,COBAN,15.77643,-90.728178,COPB ANEXO A EORM,COMUNIDAD SANTA ELENA SATALOX
34,16-01-0382-43,ALTA VERAPAZ,COBAN,15.955651,-90.726571,EORM ALDEA SA UCHIL,ALDEA SA UCHIL
